# This file is automatically generated by the curve_fit function
param n := 26 ;
param m := 4 ;
param X := 
1 1 1.000000e+00
1 2 1.990000e+03
1 3 3.960100e+06
1 4 7.880599e+09
2 1 1.000000e+00
2 2 1.991000e+03
2 3 3.964081e+06
2 4 7.892485e+09
3 1 1.000000e+00
3 2 1.992000e+03
3 3 3.968064e+06
3 4 7.904383e+09
4 1 1.000000e+00
4 2 1.993000e+03
4 3 3.972049e+06
4 4 7.916294e+09
5 1 1.000000e+00
5 2 1.994000e+03
5 3 3.976036e+06
5 4 7.928216e+09
6 1 1.000000e+00
6 2 1.995000e+03
6 3 3.980025e+06
6 4 7.940150e+09
7 1 1.000000e+00
7 2 1.996000e+03
7 3 3.984016e+06
7 4 7.952096e+09
8 1 1.000000e+00
8 2 1.997000e+03
8 3 3.988009e+06
8 4 7.964054e+09
9 1 1.000000e+00
9 2 1.998000e+03
9 3 3.992004e+06
9 4 7.976024e+09
10 1 1.000000e+00
10 2 1.999000e+03
10 3 3.996001e+06
10 4 7.988006e+09
11 1 1.000000e+00
11 2 2.000000e+03
11 3 4.000000e+06
11 4 8.000000e+09
12 1 1.000000e+00
12 2 2.001000e+03
12 3 4.004001e+06
12 4 8.012006e+09
13 1 1.000000e+00
13 2 2.002000e+03
13 3 4.008004e+06
13 4 8.024024e+09
14 1 1.000000e+00
14 2 2.003000e+03
14 3 4.012009e+06
14 4 8.036054e+09
15 1 1.000000e+00
15 2 2.004000e+03
15 3 4.016016e+06
15 4 8.048096e+09
16 1 1.000000e+00
16 2 2.005000e+03
16 3 4.020025e+06
16 4 8.060150e+09
17 1 1.000000e+00
17 2 2.006000e+03
17 3 4.024036e+06
17 4 8.072216e+09
18 1 1.000000e+00
18 2 2.007000e+03
18 3 4.028049e+06
18 4 8.084294e+09
19 1 1.000000e+00
19 2 2.008000e+03
19 3 4.032064e+06
19 4 8.096385e+09
20 1 1.000000e+00
20 2 2.009000e+03
20 3 4.036081e+06
20 4 8.108487e+09
21 1 1.000000e+00
21 2 2.010000e+03
21 3 4.040100e+06
21 4 8.120601e+09
22 1 1.000000e+00
22 2 2.011000e+03
22 3 4.044121e+06
22 4 8.132727e+09
23 1 1.000000e+00
23 2 2.012000e+03
23 3 4.048144e+06
23 4 8.144866e+09
24 1 1.000000e+00
24 2 2.013000e+03
24 3 4.052169e+06
24 4 8.157016e+09
25 1 1.000000e+00
25 2 2.014000e+03
25 3 4.056196e+06
25 4 8.169179e+09
26 1 1.000000e+00
26 2 2.015000e+03
26 3 4.060225e+06
26 4 8.181353e+09
;
param y := 
1 3.588570e+01
2 3.578775e+01
3 3.568981e+01
4 3.559186e+01
5 3.549392e+01
6 3.539597e+01
7 3.529803e+01
8 3.520008e+01
9 3.510214e+01
10 3.500419e+01
11 3.490625e+01
12 3.482672e+01
13 3.474719e+01
14 3.466766e+01
15 3.458813e+01
16 3.450860e+01
17 3.444842e+01
18 3.438823e+01
19 3.432804e+01
20 3.426786e+01
21 3.420767e+01
22 3.416055e+01
23 3.411343e+01
24 3.406631e+01
25 3.401919e+01
26 3.397207e+01
;
